"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"POL_2022",7.06666666666667,4.30593243333333,30.8,4.56666666666667,3.33944834833551,15.4333333333333,2,1.63348425306994,11.9,"POL","Berlin",38.61,2022,1,0.920243369188892,0.88311810684883,0.926282449645497
"PWVK_2021",7.17241379310345,4.20941589593205,41.2068965517241,4.96551724137931,3.34188113193328,18.7241379310345,2.06896551724138,1.51721161057725,22.2758620689655,"PWVK","Berlin",63.42,2021,1,0.90284247495831,0.824898712830069,0.962746837299852
"PWVK_2022",6.64516129032258,4.28448538709677,28.5806451612903,4.41935483870968,3.22241003057055,12.3870967741935,2.03225806451613,1.60028476194226,15.4516129032258,"PWVK","Berlin",63.42,2022,1,0.927350037419249,0.884861042220497,0.963178738979806
"PWVK_2023",8.40909090909091,4.0359275,55,6.40909090909091,3.92113959135157,31.9545454545455,1.54545454545455,1.03394821428188,20,"PWVK","Berlin",63.42,2023,1,0.902228415484905,0.835493188007744,0.943033780800441
"RB_2020",6.15,3.76592890838695,19.85,4.35,3.56812786665399,8.15,1.8,1.34093482642936,11.7,"RB","Berlin",45.58,2020,1,0.93895143627651,0.893136644888697,0.94356849214735
"RB_2021",5.76,3.95842025869783,23.56,4.24,3.41054554657431,10.56,1.44,1.22510567566662,12.6,"RB","Berlin",45.58,2021,1,0.934858685656396,0.916406313847986,0.922680993275301
"SA_2021",9.47368421052632,Inf,58,6.44736842105263,4.48762507990334,24.0526315789474,2.81578947368421,2.00897904602392,36.2368421052632,"SA","Munich",49.49,2021,1,0.958838907945142,0.920342894119052,0.964924417033751
"SA_2022",9.625,5.445837375,46.975,6.1,4.37191679598878,19.075,3.225,2.23409502422246,25.175,"SA","Munich",49.49,2022,1,0.955357690891745,0.919042020305603,0.973464967080166
"SA_2023",5.875,3.553787625,26.5,4.0625,3.11135139455508,12.5625,1.8125,1.26973112716421,13.625,"SA","Munich",49.49,2023,1,0.933155373513827,0.907425748041867,0.926724426729582
"SCH_2020",7.20833333333333,3.62725044421497,33,4.83333333333333,3.66688127551259,10.3333333333333,2.375,1.51624422465582,22.6666666666667,"SCH","Berlin",24.45,2020,1,0.941779150717441,0.889385363889843,0.913089951911702
"SCH_2021",6.16129032258065,3.72995211480313,46.0967741935484,3.7741935483871,2.46385882436559,25.1290322580645,2.25806451612903,1.69275583876867,20.4193548387097,"SCH","Berlin",24.45,2021,1,0.955025148070337,0.948775070234713,0.94973589930121
"SCH_2022",6.25925925925926,3.95357185185185,31.962962962963,3.96296296296296,2.85298436771785,17.7037037037037,2.22222222222222,1.64282568136709,13.8148148148148,"SCH","Berlin",24.45,2022,1,0.953583438453558,0.932517519751198,0.953709340237962
"SCH_2023",7.375,4.640503625,44.7916666666667,5.04166666666667,3.17289344922535,27.0416666666667,1.83333333333333,1.46859538262225,15.9166666666667,"SCH","Berlin",24.45,2023,1,0.895552401714229,0.864597555243291,0.93803421173233
